id,grade_id,sala_id,dia_semana,turno
A001,,S001,,
A002,,S002,,
A003,,S003,,
A004,,S004,,
A005,,S005,,
A006,,S006,,
A007,,S007,,
A008,,S008,,
A009,,S009,,
A010,,S010,,
A011,,S011,,
A012,,S012,,
A013,,S013,,
A014,,S014,,
A015,,S015,,
A016,,S016,,
A017,,S017,,
A018,,S018,,
A019,,S019,,
A020,,S020,,
A021,,S021,,
A022,,S022,,
A023,,S023,,
A024,,S024,,
A025,,S025,,
A026,,S026,,
A027,,S027,,
A028,,S028,,
A029,,S029,,
A030,,S030,,
A031,,S031,,
A032,,S032,,
A033,,S033,,
A034,,S034,,
A035,,S035,,
A036,,S036,,
A037,,S037,,
A038,,S038,,
A039,,S039,,
A040,,S040,,
A041,,S041,,
A042,,S042,,
A043,,S043,,
A044,,S044,,
A045,,S045,,
A046,,S046,,
A047,,S047,,
A048,,S048,,
A049,,S049,,
A050,,S050,,
A051,,S051,,
A052,,S052,,
A053,,S053,,
A054,,S054,,
A055,,S055,,
A056,,S056,,
A057,,S057,,
A058,,S058,,
A059,,S059,,
A060,,S060,,
A061,,S061,,
A062,,S062,,
A063,,S063,,
A064,,S064,,
A065,,S065,,
A066,,S066,,
A067,,S067,,
A068,,S068,,
A069,,S069,,
A070,,S070,,
A071,,S071,,
A072,,S072,,
A073,,S073,,
A074,,S074,,
A075,,S075,,
A076,,S076,,
A077,,S077,,
A078,,S078,,
A079,,S079,,
A080,,S080,,
A081,,S081,,
A082,,S082,,
A083,,S083,,
A084,,S084,,
A085,,S085,,
A086,,S086,,
A087,,S087,,
A088,,S088,,
A089,,S089,,
A090,,S090,,
A091,,S091,,
A092,,S092,,
A093,,S093,,
A094,,S094,,
A095,,S095,,
A096,,S096,,
A097,,S097,,
A098,,S098,,
A099,,S099,,
A100,,S100,,
A101,,S101,,
A102,,S102,,
A103,,S103,,
A104,,S104,,
A105,,S105,,
A106,,S106,,
A107,,S107,,
A108,,S108,,
A109,,S109,,
A110,,S110,,
A111,,S111,,
A112,,S112,,
A113,,S113,,
A114,,S114,,
A115,,S115,,
A116,,S116,,
A117,,S117,,
A118,,S118,,
A119,,S119,,
A120,,S120,,
A121,,S121,,
A122,,S122,,
A123,,S123,,
A124,,S124,,
A125,,S125,,
A126,,S126,,
A127,,S127,,
A128,,S128,,
A129,,S129,,
A130,,S130,,
A131,,S131,,
A132,,S132,,
A133,,S133,,
A134,,S134,,
A135,,S135,,
A136,,S136,,
A137,,S137,,
A138,,S138,,
A139,,S139,,
A140,,S140,,
A141,,S141,,
A142,,S142,,
A143,,S143,,
A144,,S144,,
A145,,S145,,
A146,,S146,,
A147,,S147,,
A148,,S148,,
A149,,S149,,
A150,,S150,,
A151,,S151,,
A152,,S152,,
A153,,S153,,
A154,,S154,,
A155,,S155,,
A156,,S156,,
A157,,S157,,
A158,,S158,,
A159,,S159,,
A160,,S160,,
A161,,S161,,
A162,,S162,,
A163,,S163,,
A164,,S164,,
A165,,S165,,
A166,,S166,,
A167,,S167,,
A168,,S168,,
A169,,S169,,
A170,,S170,,
A171,,S171,,
A172,,S172,,
A173,,S173,,
A174,,S174,,
A175,,S175,,
A176,,S176,,
A177,,S177,,
A178,,S178,,
A179,,S179,,
A180,,S180,,
A181,,S181,,
A182,,S182,,
A183,,S183,,
A184,,S184,,
A185,,S185,,
A186,,S186,,
