id;numero;bloco;andar;status;acessibilidade;equipamentos;especialidade_preferencial
S001;101;A;1;disponivel;true;"ECG;Monitor";CARDIOLOGIA
S002;102;A;1;disponivel;true;Mesa Ginecológica;GINECOLOGIA
S003;103;A;1;disponivel;true;;UROLOGIA
S004;104;A;1;manutencao;true;;GERAL
S005;201;B;2;disponivel;false;Lâmpada de fenda;OFTALMOLOGIA
S006;202;B;2;bloqueada;false;;GERAL
S007;203;B;2;disponivel;false;;PSIQUIATRIA
S008;301;C;3;disponivel;false;;ORTOPEDIA
S009;302;C;3;reforma;false;;GERAL
S010;303;C;3;disponivel;true;;REUMATOLOGIA
S011;401;D;4;disponivel;false;Audiômetro;OTORRINOLARINGOLOGIA
S012;402;D;4;disponivel;false;;ENDOCRINOLOGIA
