"Grade","Profissional_Grade","Unidade_Funcional","Condicao_De_Atendimento","Especialidade","Situacao_Atual_Grade","Dia_da_Semana","Hora_Inicio","Turno","Situacao_Atual_Horario","Quantidade_Vagas"
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,20
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),CONSULTA PRIMEIRA VEZ SERVIDOR(A),UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,2
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,15
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),CONSULTA PRIMEIRA VEZ SERVIDOR(A),UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
14,F. D. O. V. ,UROLOGIA (AMBULATÓRIO),,UROLOGIA,Ativo,,,,,
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),CONSULTA REGULADA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,5
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,50
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,50
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
